batch_fit_time,dbi,mia,n_sample,preprocessing,silhouette,t0,total_sample,transform,experiment_name,som_dim,n_clust,date
8.212469578,1.746228308,49.45929486,3295202,,0.372453117,1530468587,3295202,,exp2_kmeans,0,5,2018-07-01
8.382479429,2.057032015,43.90746869,3295202,,0.01901366,1530468602,3295202,,exp2_kmeans,0,8,2018-07-01
8.949512005,2.750885322,296.179826,3295202,,-0.019145129,1530468617,3295202,,exp2_kmeans,0,11,2018-07-01
8.99951458,2.615970908,36.34202985,3295202,,0.218494831,1530468632,3295202,,exp2_kmeans,0,14,2018-07-01
9.172524929,2.525695444,59.91720893,3295202,,0.008343655,1530468648,3295202,,exp2_kmeans,0,17,2018-07-01
13.64678073,2.385456851,41.04132411,3295202,,0.098953197,1530468668,3295202,,exp2_kmeans,0,20,2018-07-01
15.1768682,2.346853032,34.26615914,3295202,,0.151889376,1530468689,3295202,,exp2_kmeans,0,23,2018-07-01
15.61989331,2.339261064,37.12028162,3295202,,0.110655281,1530468711,3295202,,exp2_kmeans,0,26,2018-07-01
11.07363343,2.560167855,47.70895268,3295202,,0.055860935,1530468729,3295202,,exp2_kmeans,0,29,2018-07-01
15.18386841,2.340944131,39.85494073,3295202,,0.062682299,1530468751,3295202,,exp2_kmeans,0,32,2018-07-01
15.83790612,2.304050298,41.46613678,3295202,,0.043480674,1530468773,3295202,,exp2_kmeans,0,35,2018-07-01
11.1076355,2.730081035,117.1906684,3295202,,-0.002640454,1530468790,3295202,,exp2_kmeans,0,38,2018-07-01
11.30364633,2.6591295,140.5575777,3295202,,0.000117429,1530468808,3295202,,exp2_kmeans,0,41,2018-07-01
11.87567925,2.56662441,148.0154252,3295202,,0.032318635,1530468827,3295202,,exp2_kmeans,0,44,2018-07-01
11.6096642,2.499544063,109.6513299,3295202,,-0.0004222,1530468845,3295202,,exp2_kmeans,0,47,2018-07-01
15.22487092,2.287795023,33.67362753,3295202,,0.057684897,1530468867,3295202,,exp2_kmeans,0,50,2018-07-01
11.81267571,2.542617941,99.35783203,3295202,,-0.007741663,1530468885,3295202,,exp2_kmeans,0,53,2018-07-01
11.68466854,2.609116786,57.66102957,3295202,,-0.035793015,1530468904,3295202,,exp2_kmeans,0,56,2018-07-01
11.84167719,2.698697073,123.0560163,3295202,,-0.051540691,1530468923,3295202,,exp2_kmeans,0,59,2018-07-01
12.09069157,2.327871895,32.23078948,3295202,,-0.083056073,1530468942,3295202,,exp2_kmeans,0,62,2018-07-01
11.8826797,2.620334581,108.2898892,3295202,,-0.029897692,1530468961,3295202,,exp2_kmeans,0,65,2018-07-01
16.12492228,2.343799654,30.39026555,3295202,,0.050410748,1530468984,3295202,,exp2_kmeans,0,68,2018-07-01
11.87667942,2.736495525,139.3567392,3295202,,0.020414393,1530469004,3295202,,exp2_kmeans,0,71,2018-07-01
12.73672843,2.395637478,33.4656785,3295202,,0.029602778,1530469024,3295202,,exp2_kmeans,0,74,2018-07-01
14.22881365,2.373816945,30.56966469,3295202,,0.03712556,1530469046,3295202,,exp2_kmeans,0,77,2018-07-01
12.62472224,2.681964449,113.0931122,3295202,,0.013752988,1530469066,3295202,,exp2_kmeans,0,80,2018-07-01
21.26721668,2.360784341,32.84380742,3295202,,0.031935734,1530469095,3295202,,exp2_kmeans,0,83,2018-07-01
25.01043057,2.329244317,29.51432143,3295202,,0.043014958,1530469127,3295202,,exp2_kmeans,0,86,2018-07-01
22.3322773,2.333220554,28.12333286,3295202,,0.050660693,1530469158,3295202,,exp2_kmeans,0,89,2018-07-01
13.1407516,2.637511228,68.52726081,3295202,,-0.006845801,1530469179,3295202,,exp2_kmeans,0,92,2018-07-01
12.98574257,2.630538918,153.6140161,3295202,,-0.024322587,1530469199,3295202,,exp2_kmeans,0,95,2018-07-01
13.41376734,2.635570223,186.7864032,3295202,,0.006058381,1530469221,3295202,,exp2_kmeans,0,98,2018-07-01
15.40488124,2.36411164,32.43484126,3295202,,0.0205578,1530469245,3295202,,exp2_kmeans,0,101,2018-07-01
14.05580378,2.563430956,89.79328518,3295202,,-0.021982298,1530469267,3295202,,exp2_kmeans,0,104,2018-07-01
13.58777714,2.623407989,71.26772546,3295202,,0.015019703,1530469289,3295202,,exp2_kmeans,0,107,2018-07-01
14.09780645,2.47748693,49.47018432,3295202,,-0.011197098,1530469312,3295202,,exp2_kmeans,0,110,2018-07-01
14.17681074,2.68198772,125.8071883,3295202,,0.020623795,1530469335,3295202,,exp2_kmeans,0,113,2018-07-01
14.7268424,2.394437078,29.07974207,3295202,,0.029261273,1530469358,3295202,,exp2_kmeans,0,116,2018-07-01
14.50482941,2.41685312,46.20237613,3295202,,-0.016001057,1530469381,3295202,,exp2_kmeans,0,119,2018-07-01
21.04820418,2.367884412,36.39039586,3295202,,5.69E-05,1530469412,3295202,,exp2_kmeans,0,122,2018-07-01
20.64418077,2.294582956,26.99928259,3295202,,0.030360096,1530469441,3295202,,exp2_kmeans,0,125,2018-07-01
20.27515984,2.359729191,28.2760985,3295202,,0.023558414,1530469471,3295202,,exp2_kmeans,0,128,2018-07-01
14.61383605,2.52712593,89.52026777,3295202,,-0.020173084,1530469495,3295202,,exp2_kmeans,0,131,2018-07-01
15.08086252,2.589697376,47.18602802,3295202,,-0.027266998,1530469519,3295202,,exp2_kmeans,0,134,2018-07-01
14.32081914,2.480342579,0.547972132,3295202,normalize,0.101572457,1530469824,3295202,,exp2_norm_kmeans,0,5,2018-07-01
8.428482056,2.391916168,0.529156915,3295202,normalize,0.083114616,1530469838,3295202,,exp2_norm_kmeans,0,8,2018-07-01
8.591491222,2.210682421,0.514431353,3295202,normalize,0.092604609,1530469853,3295202,,exp2_norm_kmeans,0,11,2018-07-01
19.46011305,2.018696502,0.477622137,3295202,normalize,0.093684207,1530469879,3295202,,exp2_norm_kmeans,0,14,2018-07-01
13.66278148,2.076233838,0.468542693,3295202,normalize,0.09786308,1530469899,3295202,,exp2_norm_kmeans,0,17,2018-07-01
18.52705979,2.073664967,0.462660263,3295202,normalize,0.095745983,1530469924,3295202,,exp2_norm_kmeans,0,20,2018-07-01
23.82536268,2.117594332,0.458679869,3295202,normalize,0.092522476,1530469954,3295202,,exp2_norm_kmeans,0,23,2018-07-01
10.20558357,2.247718045,0.469166341,3295202,normalize,0.08579182,1530469971,3295202,,exp2_norm_kmeans,0,26,2018-07-01
24.12437987,2.16394112,0.452735022,3295202,normalize,0.089821202,1530470001,3295202,,exp2_norm_kmeans,0,29,2018-07-01
33.14589596,2.10950069,0.450734081,3295202,normalize,0.097402441,1530470041,3295202,,exp2_norm_kmeans,0,32,2018-07-01
33.35690784,2.146737633,0.445226622,3295202,normalize,0.094730562,1530470081,3295202,,exp2_norm_kmeans,0,35,2018-07-01
22.12026501,2.155049465,0.444017536,3295202,normalize,0.092866154,1530470110,3295202,,exp2_norm_kmeans,0,38,2018-07-01
29.17066836,2.18285136,0.44232856,3295202,normalize,0.08755453,1530470146,3295202,,exp2_norm_kmeans,0,41,2018-07-01
37.02911782,2.160866105,0.437529893,3295202,normalize,0.082628344,1530470189,3295202,,exp2_norm_kmeans,0,44,2018-07-01
37.36313725,2.198627626,0.435170252,3295202,normalize,0.086593055,1530470234,3295202,,exp2_norm_kmeans,0,47,2018-07-01
39.46525741,2.157366766,0.433280142,3295202,normalize,0.086844048,1530470280,3295202,,exp2_norm_kmeans,0,50,2018-07-01
40.09929371,2.21132982,0.435017967,3295202,normalize,0.088598179,1530470327,3295202,,exp2_norm_kmeans,0,53,2018-07-01
41.48937321,2.12034916,0.430602786,3295202,normalize,0.088604735,1530470375,3295202,,exp2_norm_kmeans,0,56,2018-07-01
44.49954534,2.195933261,0.428187306,3295202,normalize,0.076974424,1530470427,3295202,,exp2_norm_kmeans,0,59,2018-07-01
38.0531764,2.158325726,0.425318076,3295202,normalize,0.073382566,1530470472,3295202,,exp2_norm_kmeans,0,62,2018-07-01
46.38765335,2.165029865,0.423980305,3295202,normalize,0.08570126,1530470526,3295202,,exp2_norm_kmeans,0,65,2018-07-01
48.72678685,2.200223621,0.423497469,3295202,normalize,0.083733805,1530470582,3295202,,exp2_norm_kmeans,0,68,2018-07-01
12.51471591,2.36438123,0.448045505,3295202,normalize,0.07840284,1530470602,3295202,,exp2_norm_kmeans,0,71,2018-07-01
50.16286922,2.18191336,0.420688015,3295202,normalize,0.080200025,1530470660,3295202,,exp2_norm_kmeans,0,74,2018-07-01
51.19592834,2.172244588,0.420173163,3295202,normalize,0.081585232,1530470719,3295202,,exp2_norm_kmeans,0,77,2018-07-01
47.0706923,2.174170903,0.420329591,3295202,normalize,0.078435394,1530470774,3295202,,exp2_norm_kmeans,0,80,2018-07-01
13.01774478,2.405415618,0.438336948,3295202,normalize,0.051076292,1530470794,3295202,,exp2_norm_kmeans,0,83,2018-07-01
46.97268653,2.199386486,0.412404377,3295202,normalize,0.070002749,1530470849,3295202,,exp2_norm_kmeans,0,86,2018-07-01
38.79121876,2.176122347,0.412675015,3295202,normalize,0.071930268,1530470896,3295202,,exp2_norm_kmeans,0,89,2018-07-01
50.23087311,2.118991361,0.414384699,3295202,normalize,0.084556148,1530470954,3295202,,exp2_norm_kmeans,0,92,2018-07-01
52.49100256,2.195855421,0.411138702,3295202,normalize,0.072327372,1530471015,3295202,,exp2_norm_kmeans,0,95,2018-07-01
53.88008165,2.189837229,0.409628504,3295202,normalize,0.07795222,1530471077,3295202,,exp2_norm_kmeans,0,98,2018-07-01
60.03943443,2.139714747,0.408781103,3295202,normalize,0.074805226,1530471145,3295202,,exp2_norm_kmeans,0,101,2018-07-01
41.44737053,2.188145087,0.410654449,3295202,normalize,0.08095451,1530471195,3295202,,exp2_norm_kmeans,0,104,2018-07-01
57.16726971,2.151201815,0.408848618,3295202,normalize,0.075562121,1530471261,3295202,,exp2_norm_kmeans,0,107,2018-07-01
42.12340951,2.152198953,0.408050144,3295202,normalize,0.079695713,1530471312,3295202,,exp2_norm_kmeans,0,110,2018-07-01
43.33047819,2.217451223,0.40710372,3295202,normalize,0.077281314,1530471364,3295202,,exp2_norm_kmeans,0,113,2018-07-01
64.09966612,2.185268914,0.405850216,3295202,normalize,0.073792497,1530471437,3295202,,exp2_norm_kmeans,0,116,2018-07-01
14.23881459,2.35479402,0.425860633,3295202,normalize,0.041381763,1530471461,3295202,,exp2_norm_kmeans,0,119,2018-07-01
58.32333589,2.171537651,0.403362414,3295202,normalize,0.079177528,1530471528,3295202,,exp2_norm_kmeans,0,122,2018-07-01
62.60358095,2.173792231,0.40314108,3295202,normalize,0.056884823,1530471600,3295202,,exp2_norm_kmeans,0,125,2018-07-01
67.88988328,2.150983858,0.404444315,3295202,normalize,0.072821696,1530471677,3295202,,exp2_norm_kmeans,0,128,2018-07-01
62.76759005,2.185594575,0.404055528,3295202,normalize,0.083642005,1530471749,3295202,,exp2_norm_kmeans,0,131,2018-07-01
56.25521731,2.220168302,0.399383179,3295202,normalize,0.066717473,1530471815,3295202,,exp2_norm_kmeans,0,134,2018-07-01
14.46382713,2.640404512,37.26690381,3295202,,0.088092325,1530517178,3295202,,exp2_som,5,0,2018-07-02
24.81341934,3.002999455,32.49964014,3295202,,0.035031436,1530517225,3295202,,exp2_som,7,0,2018-07-02
37.5541482,3.154713157,31.84131109,3295202,,0.013905717,1530517284,3295202,,exp2_som,9,0,2018-07-02
52.08997917,3.247108131,4053.893642,3295202,,-0.007857379,1530517360,3295202,,exp2_som,11,0,2018-07-02
104.0319502,3.624388698,33.42222528,3295202,,-0.03196533,1530517489,3295202,,exp2_som,13,0,2018-07-02
124.9231451,4.113140204,3323.596923,3295202,,-0.006704734,1530517640,3295202,,exp2_som,15,0,2018-07-02
144.0672402,4.820166888,3597.819247,3295202,,-0.030372181,1530517813,3295202,,exp2_som,17,0,2018-07-02
177.317142,4.474085626,2623.901609,3295202,,-0.029227319,1530518023,3295202,,exp2_som,19,0,2018-07-02
217.990468,4.36912368,2374.015876,3295202,,-0.02104284,1530518279,3295202,,exp2_som,21,0,2018-07-02
242.7078822,4.915450845,2169.629459,3295202,,-0.04970826,1530518563,3295202,,exp2_som,23,0,2018-07-02
326.6236818,5.26404024,1997.370751,3295202,,-0.048863674,1530518939,3295202,,exp2_som,25,0,2018-07-02
374.6264272,4.794946294,1811.612632,3295202,,-0.049729169,1530519370,3295202,,exp2_som,27,0,2018-07-02
392.435446,5.416185502,1721.169956,3295202,,-0.061974041,1530519828,3295202,,exp2_som,29,0,2018-07-02
13.65078068,2.720990273,0.449179067,3295202,normalize,0.034719691,1530520210,3295202,,exp2_norm_som,5,0,2018-07-02
24.30839038,2.974391523,0.421878153,3295202,normalize,0.02556514,1530520256,3295202,,exp2_norm_som,7,0,2018-07-02
37.66415453,3.062396233,0.419293979,3295202,normalize,0.028683985,1530520318,3295202,,exp2_norm_som,9,0,2018-07-02
53.65106845,3.225988162,0.413680528,3295202,normalize,0.011352737,1530520396,3295202,,exp2_norm_som,11,0,2018-07-02
103.3399107,3.424822452,0.396660678,3295202,normalize,0.01015144,1530520525,3295202,,exp2_norm_som,13,0,2018-07-02
122.8250253,3.673404256,0.389648817,3295202,normalize,-0.004198934,1530520677,3295202,,exp2_norm_som,15,0,2018-07-02
144.5272663,3.751232783,0.37866671,3295202,normalize,-0.01841069,1530520852,3295202,,exp2_norm_som,17,0,2018-07-02
171.9018321,3.983350265,0.38029495,3295202,normalize,-0.007697207,1530521057,3295202,,exp2_norm_som,19,0,2018-07-02
209.7389963,4.085193695,0.372609328,3295202,normalize,-0.019873452,1530521305,3295202,,exp2_norm_som,21,0,2018-07-02
240.74877,4.353425347,0.368268489,3295202,normalize,-0.030418587,1530521587,3295202,,exp2_norm_som,23,0,2018-07-02
333.8970976,4.640857567,0.362398612,3295202,normalize,-0.042410943,1530521968,3295202,,exp2_norm_som,25,0,2018-07-02
372.8083234,4.498290899,0.356569224,3295202,normalize,-0.047596909,1530522399,3295202,,exp2_norm_som,27,0,2018-07-02
415.3107543,4.703978924,0.350812194,3295202,normalize,-0.052522791,1530522888,3295202,,exp2_norm_som,29,0,2018-07-02
429.4195611,2.528333248,0.544049683,3295202,normalize,0.088971046,1530523697,3295202,kmeans,exp2_norm_som+kmeans,30,5,2018-07-02
429.4195611,2.383542943,0.523826158,3295202,normalize,0.081437367,1530523720,3295202,kmeans,exp2_norm_som+kmeans,30,8,2018-07-02
429.4195611,2.34638774,0.505055494,3295202,normalize,0.062447197,1530523744,3295202,kmeans,exp2_norm_som+kmeans,30,11,2018-07-02
429.4195611,2.195100965,0.480349487,3295202,normalize,0.072593991,1530523767,3295202,kmeans,exp2_norm_som+kmeans,30,14,2018-07-02
429.4195611,2.160393213,0.473765982,3295202,normalize,0.078949418,1530523791,3295202,kmeans,exp2_norm_som+kmeans,30,17,2018-07-02
429.4195611,2.223792009,0.465904896,3295202,normalize,0.063234607,1530523814,3295202,kmeans,exp2_norm_som+kmeans,30,20,2018-07-02
429.4195611,2.364542737,0.459290635,3295202,normalize,0.049333979,1530523838,3295202,kmeans,exp2_norm_som+kmeans,30,23,2018-07-02
429.4195611,2.31249417,0.461872251,3295202,normalize,0.077912342,1530523862,3295202,kmeans,exp2_norm_som+kmeans,30,26,2018-07-02
429.4195611,2.297052407,0.454454509,3295202,normalize,0.066282626,1530523886,3295202,kmeans,exp2_norm_som+kmeans,30,29,2018-07-02
429.4195611,2.327411786,0.449821508,3295202,normalize,0.059042413,1530523910,3295202,kmeans,exp2_norm_som+kmeans,30,32,2018-07-02
429.4195611,2.284289397,0.448486375,3295202,normalize,0.068542933,1530523934,3295202,kmeans,exp2_norm_som+kmeans,30,35,2018-07-02
429.4195611,2.32694768,0.44460762,3295202,normalize,0.067589,1530523958,3295202,kmeans,exp2_norm_som+kmeans,30,38,2018-07-02
429.4195611,2.29991653,0.442329574,3295202,normalize,0.042754278,1530523982,3295202,kmeans,exp2_norm_som+kmeans,30,41,2018-07-02
429.4195611,2.350645485,0.441985057,3295202,normalize,0.058156792,1530524006,3295202,kmeans,exp2_norm_som+kmeans,30,44,2018-07-02
429.4195611,2.385097215,0.436817847,3295202,normalize,0.059572815,1530524031,3295202,kmeans,exp2_norm_som+kmeans,30,47,2018-07-02
429.4195611,2.326898596,0.436196777,3295202,normalize,0.054556276,1530524054,3295202,kmeans,exp2_norm_som+kmeans,30,50,2018-07-02
429.4195611,2.392803132,0.432148165,3295202,normalize,0.059210042,1530524079,3295202,kmeans,exp2_norm_som+kmeans,30,53,2018-07-02
429.4195611,2.40166833,0.430994804,3295202,normalize,0.052857404,1530524106,3295202,kmeans,exp2_norm_som+kmeans,30,56,2018-07-02
429.4195611,2.413398692,0.429107417,3295202,normalize,0.063062699,1530524131,3295202,kmeans,exp2_norm_som+kmeans,30,59,2018-07-02
429.4195611,2.401588567,0.426939101,3295202,normalize,0.054545798,1530524161,3295202,kmeans,exp2_norm_som+kmeans,30,62,2018-07-02
429.4195611,2.470397085,0.423902798,3295202,normalize,0.049854031,1530524187,3295202,kmeans,exp2_norm_som+kmeans,30,65,2018-07-02
429.4195611,2.447045726,0.42745231,3295202,normalize,0.057245847,1530524212,3295202,kmeans,exp2_norm_som+kmeans,30,68,2018-07-02
429.4195611,2.483727347,0.424309955,3295202,normalize,0.057151872,1530524239,3295202,kmeans,exp2_norm_som+kmeans,30,71,2018-07-02
429.4195611,2.479884911,0.41994167,3295202,normalize,0.054506756,1530524264,3295202,kmeans,exp2_norm_som+kmeans,30,74,2018-07-02
429.4195611,2.487735155,0.421830229,3295202,normalize,0.054434738,1530524290,3295202,kmeans,exp2_norm_som+kmeans,30,77,2018-07-02
429.4195611,2.535182295,0.42167042,3295202,normalize,0.048209424,1530524316,3295202,kmeans,exp2_norm_som+kmeans,30,80,2018-07-02
429.4195611,2.549878791,0.419661568,3295202,normalize,0.062547093,1530524343,3295202,kmeans,exp2_norm_som+kmeans,30,83,2018-07-02
429.4195611,2.562500668,0.420046727,3295202,normalize,0.053146867,1530524369,3295202,kmeans,exp2_norm_som+kmeans,30,86,2018-07-02
429.4195611,2.55452947,0.42231984,3295202,normalize,0.04934839,1530524396,3295202,kmeans,exp2_norm_som+kmeans,30,89,2018-07-02
429.4195611,2.552970084,0.415890885,3295202,normalize,0.05614644,1530524424,3295202,kmeans,exp2_norm_som+kmeans,30,92,2018-07-02
429.4195611,2.590378658,0.42005338,3295202,normalize,0.051783166,1530524451,3295202,kmeans,exp2_norm_som+kmeans,30,95,2018-07-02
429.4195611,2.6166198,0.41697651,3295202,normalize,0.040864883,1530524478,3295202,kmeans,exp2_norm_som+kmeans,30,98,2018-07-02
429.4195611,2.656580307,0.41504596,3295202,normalize,0.053524633,1530524504,3295202,kmeans,exp2_norm_som+kmeans,30,101,2018-07-02
429.4195611,2.676389526,0.411092016,3295202,normalize,0.021721855,1530524531,3295202,kmeans,exp2_norm_som+kmeans,30,104,2018-07-02
429.4195611,2.643192718,0.417669727,3295202,normalize,0.048213059,1530524559,3295202,kmeans,exp2_norm_som+kmeans,30,107,2018-07-02
429.4195611,2.623048802,0.413332818,3295202,normalize,0.051690215,1530524588,3295202,kmeans,exp2_norm_som+kmeans,30,110,2018-07-02
429.4195611,2.654294354,0.411786744,3295202,normalize,0.043399347,1530524615,3295202,kmeans,exp2_norm_som+kmeans,30,113,2018-07-02
429.4195611,2.676285183,0.414188592,3295202,normalize,0.047176676,1530524643,3295202,kmeans,exp2_norm_som+kmeans,30,116,2018-07-02
429.4195611,2.66628227,0.413597903,3295202,normalize,0.045031645,1530524671,3295202,kmeans,exp2_norm_som+kmeans,30,119,2018-07-02
429.4195611,2.699796097,0.409763367,3295202,normalize,0.047301074,1530524702,3295202,kmeans,exp2_norm_som+kmeans,30,122,2018-07-02
429.4195611,2.753975441,0.409621497,3295202,normalize,0.046241522,1530524728,3295202,kmeans,exp2_norm_som+kmeans,30,125,2018-07-02
429.4195611,2.720815244,0.410125295,3295202,normalize,0.03906278,1530524759,3295202,kmeans,exp2_norm_som+kmeans,30,128,2018-07-02
429.4195611,2.745332626,0.409300338,3295202,normalize,0.040049403,1530524786,3295202,kmeans,exp2_norm_som+kmeans,30,131,2018-07-02
429.4195611,2.716361126,0.409110171,3295202,normalize,0.04707429,1530524816,3295202,kmeans,exp2_norm_som+kmeans,30,134,2018-07-02
780.4486392,2.544173293,0.545546978,3295202,normalize,0.083472836,1530525624,3295202,kmeans,exp2_norm_som+kmeans,40,5,2018-07-02
780.4486392,2.336002162,0.523309345,3295202,normalize,0.060942272,1530525648,3295202,kmeans,exp2_norm_som+kmeans,40,8,2018-07-02
780.4486392,2.308902736,0.510186979,3295202,normalize,0.053315273,1530525672,3295202,kmeans,exp2_norm_som+kmeans,40,11,2018-07-02
780.4486392,2.134613381,0.478213448,3295202,normalize,0.060871193,1530525696,3295202,kmeans,exp2_norm_som+kmeans,40,14,2018-07-02
780.4486392,2.128661084,0.476500696,3295202,normalize,0.073443154,1530525720,3295202,kmeans,exp2_norm_som+kmeans,40,17,2018-07-02
780.4486392,2.145561614,0.471735878,3295202,normalize,0.073823154,1530525745,3295202,kmeans,exp2_norm_som+kmeans,40,20,2018-07-02
780.4486392,2.259617159,0.465367468,3295202,normalize,0.047590354,1530525768,3295202,kmeans,exp2_norm_som+kmeans,40,23,2018-07-02
780.4486392,2.287394761,0.458600282,3295202,normalize,0.056758021,1530525793,3295202,kmeans,exp2_norm_som+kmeans,40,26,2018-07-02
780.4486392,2.339311361,0.456046146,3295202,normalize,0.053642949,1530525819,3295202,kmeans,exp2_norm_som+kmeans,40,29,2018-07-02
780.4486392,2.261536754,0.454243246,3295202,normalize,0.056956197,1530525844,3295202,kmeans,exp2_norm_som+kmeans,40,32,2018-07-02
